"2022/11/01¡@Short Sales Volume and Value"
,"Margin Short Sales",,"SBL Short Sales",,
"Security Code","Trading Volume","Trading Value","Trading Volume","Trading Value",
"1626","0","0","0","0",
"1701","0","0","0","0",
"1702","0","0","5","217,500",
"1707","0","0","0","0",
"1708","72","2,935,550","44","1,801,800",
"1709","0","0","0","0",
"1710","0","0","3","51,450",
"1711","0","0","0","0",
"1712","2","71,300","69","2,452,900",
"1713","0","0","0","0",
"1714","0","0","102","823,070",
"1717","0","0","120","3,606,650",
"1718","2","15,660","10","77,560",
"1720","0","0","0","0",
"1721","25","332,050","33","440,200",
"1722","1","52,800","58","3,064,100",
"1723","0","0","0","0",
"1725","0","0","0","0",
"1726","0","0","0","0",
"1727","26","607,650","2","46,600",
"1730","0","0","0","0",
"1731","0","0","0","0",
"1732","10","278,750","0","0",
"1733","0","0","0","0",
"1734","0","0","2","57,050",
"1735","0","0","0","0",
"1736","13","950,300","0","0",
"1737","0","0","4","120,550",
"1752","0","0","0","0",
"1760","75","11,210,500","52","7,854,000",
"1762","0","0","0","0",
"1773","0","0","1","101,500",
"1776","0","0","0","0",
"1783","3","115,350","0","0",
"1786","0","0","0","0",
"1789","0","0","1","23,900",
"1795","241","37,801,000","20","3,133,500",
"1802","149","3,116,950","856","17,789,450",
"1805","0","0","0","0",
"1806","1","9,340","0","0",
"1808","0","0","8","505,700",
"1809","0","0","1","12,100",
"1810","0","0","11","119,700",
"1817","0","0","0","0",
"1903","0","0","3","144,450",
"1904","2","52,900","0","0",
"1905","0","0","9","150,750",
"1906","0","0","1","15,450",
"1907","3","78,600","176","4,556,800",
"1909","0","0","30","449,350",
"2002","25","673,100","2,657","71,340,850",
"2006","0","0","143","7,084,200",
"2007","9","83,280","19","176,110",
"2008","0","0","2","34,000",
"2009","97","2,675,700","93","2,528,900",
"2010","0","0","6","89,400",
"2012","0","0","7","153,750",
"2013","0","0","5","268,200",
"2014","86","1,699,000","896","17,719,200",
"2015","0","0","20","1,131,700",
"2017","0","0","7","85,050",
"2020","0","0","3","65,850",
"2022","0","0","0","0",
"2023","2","28,700","2","28,550",
"2024","0","0","0","0",
"2025","0","0","0","0",
"2027","10","375,000","880","33,016,750",
"2028","0","0","19","417,700",
"2029","0","0","2","47,100",
"2030","2","44,800","0","0",
"2031","0","0","40","1,370,400",
"2032","0","0","7","115,150",
"2033","0","0","0","0",
"2034","0","0","0","0",
"2038","3","52,500","4","71,000",
"2049","9","1,512,000","34","5,705,000",
"2059","0","0","7","2,940,000",
"2062","3","63,950","15","320,650",
"2069","0","0","0","0",
"2101","1","34,550","19","651,950",
"2102","5","94,500","15","281,900",
"2103","0","0","0","0",
"2104","0","0","21","400,900",
"2105","4","131,700","284","9,383,150",
"2106","0","0","0","0",
"2107","0","0","3","59,700",
"2108","85","2,893,500","0","0",
"2109","0","0","0","0",
"2114","0","0","0","0",
"2115","0","0","1","29,550",
"2201","85","3,862,400","295","13,377,250",
"2204","0","0","4","167,650",
"2206","41","1,545,550","0","0",
"2207","0","0","4","2,349,000",
"2208","1","15,050","3","45,200",
"2211","0","0","0","0",
"2227","0","0","5","905,500",
"2228","0","0","0","0",
"2231","2","281,500","9","1,264,000",
"2233","0","0","1","90,700",
"2236","0","0","0","0",
"2239","0","0","1","63,700",
"2241","0","0","0","0",
"2243","0","0","0","0",
"2247","0","0","0","0",
"2250","0","0","0","0",
"2301","78","5,120,700","827","54,042,100",
"2302","0","0","0","0",
"2303","197","7,700,650","3,184","124,530,250",
"2305","249","7,652,450","5","147,000",
"2308","21","5,468,500","61","15,847,000",
"2312","46","657,950","166","2,372,200",
"2313","76","3,336,550","156","6,841,700",
"2314","0","0","0","0",
"2316","0","0","0","0",
"2317","32","3,241,500","545","55,316,000",
"2321","0","0","0","0",
"2323","19","124,930","298","1,964,950",
"2324","0","0","1,327","27,808,350",
"2327","247","92,195,000","309","114,256,500",
"2328","0","0","41","1,307,900",
"2329","8","132,300","0","0",
"2330","103","40,156,500","479","186,834,500",
"2331","25","518,750","15","314,500",
"2332","3","43,950","0","0",
"2337","115","3,476,100","946","28,560,100",
"2338","283","16,957,400","359","21,610,300",
"2340","6","192,100","8","255,500",
"2342","74","2,624,300","24","848,450",
"2344","96","1,897,750","294","5,815,850",
"2345","2","483,000","48","11,682,000",
"2347","1","52,200","452","23,621,000",
"2348","0","0","2","116,300",
"2349","0","0","0","0",
"2351","37","3,452,700","4","361,600",
"2352","11","269,850","222","5,453,250",
"2353","18","398,950","743","16,523,050",
"2354","1","44,900","135","6,082,250",
"2355","2","55,800","85","2,334,300",
"2356","1","23,900","979","23,331,600",
"2357","0","0","96","22,602,000",
"2358","0","0","0","0",
"2359","4","92,150","3","67,800",
"2360","0","0","90","15,690,500",
"2362","0","0","20","616,200",
"2363","22","339,600","1","15,300",
"2364","21","2,294,000","0","0",
"2365","0","0","0","0",
"2367","202","3,599,800","4","70,800",
"2368","202","17,400,500","146","12,621,000",
"2369","6","78,250","0","0",
"2371","36","1,128,500","540","16,898,700",
"2373","0","0","0","0",
"2374","1","20,250","0","0",
"2375","2","103,700","0","0",
"2376","103","9,443,800","103","9,461,400",
"2377","3","331,500","156","17,180,500",
"2379","20","5,200,000","162","41,904,500",
"2380","0","0","0","0",
"2382","9","604,100","704","47,298,900",
"2383","14","2,099,500","209","31,346,500",
"2385","0","0","124","9,875,700",
"2387","2","74,100","0","0",
"2388","113","7,212,500","28","1,799,700",
"2392","0","0","0","0",
"2393","2","68,150","8","274,400",
"2395","0","0","28","8,318,500",
"2397","0","0","0","0",
"2399","1","12,800","62","796,150",
"2401","5","113,400","9","205,200",
"2402","150","2,750,150","70","1,281,150",
"2404","0","0","15","2,179,000",
"2405","0","0","8","92,300",
"2406","4","66,550","5","83,450",
